year,income_before_taxes,total_expenditures,food,housing,apparel,transportation,healthcare,entertainment,education,personal_insurance_pensions,other,source
1984,23464,21975,3290,6674,1319,4304,1049,1055,303,1897,2084,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1985,25127,23490,3477,7087,1420,4587,1108,1170,321,2016,2304,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1986,25460,23866,3448,7292,1346,4842,1135,1149,314,2127,2213,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1987,27326,24414,3664,7569,1446,4600,1135,1193,337,2175,2295,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1988,28540,25892,3748,8079,1489,5093,1298,1329,342,2249,2265,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1989,31308,27810,4152,8609,1582,5187,1407,1424,367,2472,2610,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1990,31889,28381,4296,8703,1618,5120,1480,1422,406,2592,2744,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1991,33901,29614,4271,9252,1735,5151,1554,1472,447,2787,2945,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1992,33854,29846,4273,9477,1710,5228,1634,1500,426,2750,2848,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1993,34868,30692,4399,9636,1676,5453,1776,1626,455,2908,2763,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1994,36181,31731,4411,10106,1644,6044,1755,1567,460,2938,2806,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1995,36918,32264,4505,10458,1704,6014,1732,1612,471,2964,2804,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1996,38014,33797,4698,10747,1752,6382,1770,1834,524,3060,3030,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1997,39926,34819,4801,11272,1729,6457,1841,1813,571,3223,3112,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
1998,41622,35535,4810,11713,1674,6616,1903,1746,580,3381,3112,"BLS Consumer Expenditure Survey (CES), annual A01 means, all consumer units; series CXUTOTALEXPLB0101M/CXUINCBEFTXLB0101M/CXUFOODTOTLLB0101M/CXUHOUSINGLB0101M/CXUAPPARELLB0101M/CXUTRANSLB0101M/CXUHEALTHLB0101M/CXUENTRTAINLB0101M/CXUEDUCATNLB0101M/CXUINSPENSNLB0101M via BLS Public Data API api.bls.gov/publicAPI/v2"
