state_name,state_abbr,median_household_income,year,source
Alabama,AL,66659,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Alaska,AK,95665,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Arizona,AZ,81486,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Arkansas,AR,62106,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
California,CA,100149,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Colorado,CO,97113,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Connecticut,CT,96049,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Delaware,DE,87534,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
District of Columbia,DC,109707,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Florida,FL,77735,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Georgia,GA,79991,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Hawaii,HI,100745,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Idaho,ID,81166,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Illinois,IL,83211,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Indiana,IN,71959,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Iowa,IA,75501,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Kansas,KS,75514,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Kentucky,KY,64526,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Louisiana,LA,60986,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Maine,ME,76442,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Maryland,MD,102905,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Massachusetts,MA,104828,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Michigan,MI,72389,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Minnesota,MN,87117,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Mississippi,MS,59127,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Missouri,MO,71589,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Montana,MT,75340,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Nebraska,NE,76376,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Nevada,NV,81134,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
New Hampshire,NH,99782,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
New Jersey,NJ,104294,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
New Mexico,NM,67816,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
New York,NY,85820,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
North Carolina,NC,73958,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
North Dakota,ND,77871,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
Ohio,OH,72212,2024,"US Census Bureau, ACS 2024 1-year estimates, Table B19013 (data.census.gov/table/ACSDT1Y2024.B19013)"
