state,category,per_capita_2024_usd,source
United States,Housing & utilities,10596,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
United States,Getting around,5392,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
United States,Food (in & out),8552,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
United States,Health care & medicine,12021,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
United States,Fun & recreation,5159,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
United States,Money services & insurance,4588,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
United States,Home stuff & furniture,2344,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
United States,Phones & internet,1011,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
United States,School & learning,1061,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
United States,Clothes,1559,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
United States,Everything else,6216,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,Housing & utilities,8351,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,Getting around,4906,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,Food (in & out),7241,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,Health care & medicine,10379,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,Fun & recreation,3593,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,Money services & insurance,3223,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,Home stuff & furniture,2041,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,Phones & internet,628,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,School & learning,834,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,Clothes,1338,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alabama,Everything else,4562,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,Housing & utilities,10185,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,Getting around,6208,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,Food (in & out),10106,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,Health care & medicine,15645,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,Fun & recreation,7453,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,Money services & insurance,3935,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,Home stuff & furniture,2351,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,Phones & internet,1114,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,School & learning,1106,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,Clothes,1195,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Alaska,Everything else,7058,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,Housing & utilities,11657,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,Getting around,6000,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,Food (in & out),8178,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,Health care & medicine,10790,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,Fun & recreation,5196,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,Money services & insurance,3628,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,Home stuff & furniture,2430,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,Phones & internet,788,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,School & learning,909,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,Clothes,1436,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arizona,Everything else,5199,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,Housing & utilities,7316,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,Getting around,4698,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,Food (in & out),6685,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,Health care & medicine,10468,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,Fun & recreation,3509,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,Money services & insurance,4193,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,Home stuff & furniture,2092,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,Phones & internet,627,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,School & learning,724,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,Clothes,1413,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Arkansas,Everything else,4534,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,Housing & utilities,12842,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,Getting around,5508,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,Food (in & out),10172,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,Health care & medicine,13164,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,Fun & recreation,6321,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,Money services & insurance,5150,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,Home stuff & furniture,2487,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,Phones & internet,1184,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,School & learning,1283,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,Clothes,2050,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
California,Everything else,7404,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,Housing & utilities,13544,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,Getting around,6236,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,Food (in & out),10365,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,Health care & medicine,11037,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,Fun & recreation,7266,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,Money services & insurance,4805,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,Home stuff & furniture,2813,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,Phones & internet,1100,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,School & learning,1093,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,Clothes,1770,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Colorado,Everything else,6419,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,Housing & utilities,11455,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,Getting around,5663,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,Food (in & out),8618,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,Health care & medicine,13648,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,Fun & recreation,5602,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,Money services & insurance,6625,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,Home stuff & furniture,2750,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,Phones & internet,1076,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,School & learning,1772,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,Clothes,1615,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Connecticut,Everything else,7821,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Delaware,Housing & utilities,11317,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Delaware,Getting around,5409,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Delaware,Food (in & out),8615,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Delaware,Health care & medicine,14224,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
Delaware,Fun & recreation,4555,"BEA SAPCE3 detail x SAPCE2 per-capita ruler, Personal Consumption Expenditures by state, 2024 (per person; different measure than BLS CES)"
