state,industry,gdp_millions_2025,jobs_thousands_2025,avg_pay_2025,source
United States,"Agriculture, forestry, fishing",268507.7,1105,48429,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Mining,382290.9,516,136556,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Utilities,471246.1,529,142828,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Construction,1341321.7,6631,85228,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Manufacturing,2894056.6,12287,89346,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Wholesale trade,1905380.3,5660,106665,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Retail trade,1921750.7,15388,43467,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Transportation & warehousing,1023864.0,6292,69142,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Information,1667194.2,2325,201627,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Finance & insurance,2441825.6,6258,153149,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,"Real estate, rental & leasing",4238565.5,2381,80194,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,"Professional, sci & technical",2494176.7,10743,135292,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Management of companies,576771.2,2604,165866,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Administrative & waste svcs,952425.7,9022,60029,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Educational services,347193.6,3245,65892,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Health care & social assist.,2371037.0,22981,66520,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,"Arts, entertainment & rec.",355839.1,2635,52203,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Accommodation & food svcs,976493.0,13918,30700,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Other services,649381.6,4510,54646,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
United States,Government,3279187.7,22401,76560,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
Alabama,"Agriculture, forestry, fishing",4128.3,11,59404,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
Alabama,Mining,2478.2,6,107885,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
Alabama,Utilities,8866.1,13,142227,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
Alabama,Construction,16622.0,110,77067,"GDP: BEA SAGDP2 nominal 2025; Jobs/Pay: BLS QCEW 2025 (private sectors=private ownership, Government=fed+state+local)"
