state,industry,year,value_added_bn,source
United States,"Agriculture, forestry, fishing",2005,130.2,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2006,127.1,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2007,146.3,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2008,146.5,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2009,129.3,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2010,145.7,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2011,179.9,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2012,179.5,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2013,215.8,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2014,200.6,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2015,182.1,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2016,167.5,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2017,176.8,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2018,177.1,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2019,164.2,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2020,164.4,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2021,230.7,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2022,294.0,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2023,270.4,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2024,269.7,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,"Agriculture, forestry, fishing",2025,268.5,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2005,225.4,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2006,273.1,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2007,314.1,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2008,392.5,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2009,275.4,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2010,306.4,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2011,357.8,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2012,360.5,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2013,388.2,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2014,418.1,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2015,262.3,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2016,211.8,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2017,267.3,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2018,313.5,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2019,294.0,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2020,202.8,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2021,336.1,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2022,466.9,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2023,411.8,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2024,404.2,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Mining,2025,382.3,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Utilities,2005,197.9,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Utilities,2006,226.7,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
United States,Utilities,2007,231.9,"BEA SAGDP2 value added by state x industry, nominal $ (annual, 2005-2025); same table as state-by-industry-2025.csv"
